StudentName,StudentNumber,CourseName,CourseCode,Grades,CourseWeight,Instructor,Department,UniversityName,Location,Ranking
Kendra Gonzales,453979,FOOD SCIENCE,1103,22,1.0,Marion Wiggin,Education,Edith Cowan University,China,14
Robert Smith,537597,ANIMAL SCIENCES,5004,62,1.0,Rodney Plumb,Biology & Life Science,University of Bari Aldo Moro,Hungary,248
Vickie Lafferty,392632,MISCELLANEOUS ENGINEERING TECHNOLOGIES,5404,91,0.5,Patricia Floyd,Interdisciplinary,Shanghai University,China,192
Sharron Higdon,557954,MISCELLANEOUS EDUCATION,1301,63,1.0,Donald Carlson,Business,Texas A&M University,United Kingdom,265
James Mays,240852,GENERAL AGRICULTURE,5200,97,0.5,Tyrone Delatorre,Education,Oxford Brookes University,Republic of Ireland,784
Martin Rosenthal,181913,SOIL SCIENCE,2416,61,0.5,Michael Turner,Engineering,University of Houston,Canada,245
Heather Greenwood,629810,COMPUTER SCIENCE,2405,54,1.0,Janice Townsend,Physical Sciences,University of Pittsburgh,United Kingdom,348
Kristin Votaw,578488,CHEMISTRY,2301,54,0.5,Stephen Holst,Industrial Arts & Consumer Services,Nanyang Technological University,United States of America,76
Kevin Richardson,161535,EDUCATIONAL PSYCHOLOGY,2001,23,0.5,Gloria Buckley,Social Science,University of Szeged,China,456
Ralph Williams,604025,MISCELLANEOUS SOCIAL SCIENCES,3501,13,1.0,Heather Allen,Engineering,Chang Gung University,Italy,167
Robert Elliott,302929,GENERAL ENGINEERING,3202,6,0.5,Shirley Kelly,Business,University of Seoul,United Kingdom,775
Brittany Taylor,243386,PRE-LAW AND LEGAL STUDIES,2300,12,1.0,June Hartley,Biology & Life Science,Tel Aviv University,South Korea,542
William Baillargeon,259461,BOTANY,3702,69,0.5,Retha Smith,Education,National Cheng Kung University,Sweden,636
Betsy Vaughn,751885,FILM VIDEO AND PHOTOGRAPHIC ARTS,2309,25,1.0,Anita Hernandez,Business,Indian Institute of Technology Roorkee,Taiwan,698
Alan Perez,775375,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,6007,72,0.5,Linda Steger,Education,Kansas State University,Switzerland,11
Lorene Martin,122967,GENETICS,2419,78,0.5,Bobby Simpson,Engineering,Delft University of Technology,Australia,215
Brian Reyes,957821,MISCELLANEOUS PSYCHOLOGY,6002,50,1.0,Freddy Hartman,Biology & Life Science,University of New Mexico,Spain,589
Daisy Hatcher,930738,AGRICULTURE PRODUCTION AND MANAGEMENT,2406,20,1.0,Ami Bell,Humanities & Liberal Arts,University of South Carolina,United States of America,582
Shirley Odum,924972,SOIL SCIENCE,6007,47,0.5,Kerri Lowery,Biology & Life Science,Pontifical Catholic University of Chile,Greece,598
Leon Dana,364017,DRAMA AND THEATER ARTS,2307,93,1.0,John Stradley,Biology & Life Science,VU University Amsterdam,Japan,32
Robert Forrester,956674,GENERAL ENGINEERING,2411,14,0.5,Betsy Sims,Education,Deakin University,Spain,535
Tyson McVay,711314,NUTRITION SCIENCES,4001,10,0.5,Vernon Dickerson,Engineering,University of Chicago,Germany,789
Tiffany Rowsey,517350,NAVAL ARCHITECTURE AND MARINE ENGINEERING,1199,81,0.5,Lucille Humble,Humanities & Liberal Arts,Panthéon-Sorbonne University – Paris 1,China,488
George Correa,925125,POLITICAL SCIENCE AND GOVERNMENT,5505,5,0.5,William Reed,Social Science,University of the West of England,Kenya,274
Joe Lopez,386160,DRAMA AND THEATER ARTS,6201,51,1.0,Michael Weller,Humanities & Liberal Arts,University of Hertfordshire,United States of America,696
Anderson Richardson,169594,INDUSTRIAL AND MANUFACTURING ENGINEERING,2399,67,1.0,Thomas Martinez,Psychology & Social Work,University of Canberra,Canada,275
Thomas Jessup,166313,MEDICAL ASSISTING SERVICES,6109,3,1.0,Eva Reid,Psychology & Social Work,Central Queensland University,Germany,372
Adrian Romeo,677825,COMMUNICATIONS,5205,31,0.5,Vernon Dickerson,Humanities & Liberal Arts,Medical University of South Carolina,China,553
Broderick Callen,127029,TEACHER EDUCATION: MULTIPLE LEVELS,1302,41,1.0,Angela Freeman,Psychology & Social Work,Georgia Health Sciences University,United Kingdom,527
Sadie Rodriguez,984913,ASTRONOMY AND ASTROPHYSICS,5505,27,1.0,Era Rivera,Industrial Arts & Consumer Services,University of Ghana,Germany,389
Evelyn Grant,535654,THEOLOGY AND RELIGIOUS VOCATIONS,5102,70,1.0,Bertha Curtis,Psychology & Social Work,Case Western Reserve University,Turkey,193
Rene Page,109417,NATURAL RESOURCES MANAGEMENT,3611,85,0.5,Heather Greenwood,Humanities & Liberal Arts,Princeton University,United States of America,563
James Pepper,392280,SOCIAL WORK,5501,92,1.0,Karen Peter,Industrial Arts & Consumer Services,Yokohama City University,China,677
Renee Delvecchio,482850,CRIMINAL JUSTICE AND FIRE PROTECTION,6102,8,1.0,Robert Halley,Education,University of Tokyo,South Africa,578
John Langford,142437,STUDIO ARTS,2303,63,0.5,Cynthia Williams,Education,Michigan State University,Japan,296
Roberto Guzman,847712,ELECTRICAL ENGINEERING,3202,95,0.5,Roberto Guzman,Communications & Journalism,University of Rennes 1,United States of America,141
Olga Bradley,572682,COMPOSITION AND RHETORIC,4002,39,0.5,Victor Omalley,Social Science,Federal University of Paraná (UFPR),Sweden,76
Clayton Hall,276222,MARKETING AND MARKETING RESEARCH,6110,63,0.5,Marianne Crockett,Agriculture & Natural Resources,Middlesex University,United States of America,343
Albert Endres,691309,INTERDISCIPLINARY SOCIAL SCIENCES,3608,20,1.0,Steven Whitaker,Education,National Chiao Tung University,Canada,752
Amber Hall,407730,SOIL SCIENCE,2403,73,1.0,Lance Fossum,Engineering,King Mongkut’s University of Technology Thonburi,Switzerland,280
Ada Burger,358510,INTERNATIONAL RELATIONS,6110,94,0.5,James Vath,Engineering,Pontifical Catholic University of Valparaíso,United States of America,440
Betsy Sims,247014,PHYSICAL SCIENCES,5003,10,0.5,Ruth Lane,Humanities & Liberal Arts,Boğaziçi University,China,243
Michelle Bland,834800,PUBLIC ADMINISTRATION,1103,16,1.0,Christopher Hansen,Humanities & Liberal Arts,Georgetown University,Germany,808
Jason Owens,763453,STUDIO ARTS,2300,0,1.0,Dwayne Barrera,Engineering,Kanazawa University,Taiwan,675
Wilbert Jennings,133461,CONSTRUCTION SERVICES,5299,76,1.0,Michael Anderson,Social Science,National Chung Cheng University,Canada,68
James Pepper,850589,FINE ARTS,6007,61,0.5,Mark Clark,Computers & Mathematics,Nanjing University,Germany,341
Marilyn Rochester,969174,GEOGRAPHY,5001,11,1.0,Melvin Berkowitz,Biology & Life Science,University of Pardubice,Finland,158
Dan Lee,977146,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,2401,65,0.5,William Brown,Biology & Life Science,University of Essex,Australia,286
Glen Ali,384027,ART HISTORY AND CRITICISM,2601,8,1.0,Marilyn Rochester,Arts,University of Minnesota,United Kingdom,240
Gertrude Robinson,221747,ART AND MUSIC EDUCATION,6211,42,1.0,Joseph Larsen,Computers & Mathematics,Durham University,Brazil,38
Charles Burnett,466121,NUCLEAR ENGINEERING,5001,4,0.5,Latonya Doll,Engineering,University of Limerick,Japan,200
Lucas Palmer,607925,EDUCATIONAL ADMINISTRATION AND SUPERVISION,6099,86,0.5,Mary Gerow,Biology & Life Science,Swansea University,Japan,481
Mark Thompson,726566,INTERCULTURAL AND INTERNATIONAL STUDIES,4005,12,1.0,Tracy Yates,Computers & Mathematics,Wageningen University and Research Center,United States of America,330
Jose Murphy,892776,INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY,2500,43,1.0,George Torres,Engineering,University at Buffalo,Spain,151
Anna Ramirez,682455,PLANT SCIENCE AND AGRONOMY,6203,62,0.5,Wilma Russell,Health,Florida Institute of Technology,United States of America,435
Ada Burger,861960,ENVIRONMENTAL SCIENCE,1903,52,0.5,Ronald McCullough,Health,University of Zurich,Taiwan,639
Rick Evans,975543,ELEMENTARY EDUCATION,2101,65,0.5,Angie Nadler,Communications & Journalism,Boston University,Japan,239
Melba West,973425,TREATMENT THERAPY PROFESSIONS,3201,45,0.5,William Clark,Engineering,University of Freiburg,United Kingdom,191
Darrell Hightower,140342,ACCOUNTING,1105,29,0.5,Betty Patrick,Social Science,University of Western Ontario,Belgium,466
Stacey George,246477,HUMANITIES,2101,1,1.0,Clyde Navarre,Engineering,Alexandru Ioan Cuza University,United States of America,422
Andrew Griffin,742342,COURT REPORTING,1901,75,0.5,Kyle Jones,Education,Universiti Sains Malaysia,South Africa,815
Annie Randall,664456,COMMUNICATION DISORDERS SCIENCES AND SERVICES,1901,14,0.5,Donald Carlson,Arts,Durham University,United Kingdom,493
Daniel Host,356462,STUDIO ARTS,2403,62,1.0,John Carey,Industrial Arts & Consumer Services,Marche Polytechnic University,Australia,422
Ernestine Crowe,852082,SOIL SCIENCE,2101,30,1.0,Doris Potts,Industrial Arts & Consumer Services,Bournemouth University,United Kingdom,790
Erika Smith,134308,MATHEMATICS AND COMPUTER SCIENCE,1501,29,1.0,Frank Makela,Humanities & Liberal Arts,University of Surrey,Japan,80
Myrtle Perez,973575,HOSPITALITY MANAGEMENT,2601,52,1.0,Andrea Smith,Social Science,Nanjing University,United States of America,671
Christopher Durant,545096,LIBRARY SCIENCE,6211,24,0.5,Louis Brown,Communications & Journalism,Wageningen University and Research Center,Brazil,65
Juanita Robinson,996317,SOCIAL PSYCHOLOGY,6212,88,1.0,Jason Emrick,Humanities & Liberal Arts,University of Pécs,Poland,737
Dorothy Fernandez,374848,PHYSICAL AND HEALTH EDUCATION TEACHING,2415,68,0.5,Michelle Branson,Social Science,Vanderbilt University,Japan,704
Maureen King,612391,MECHANICAL ENGINEERING,2401,99,0.5,Daniel Walker,Health,Karolinska Institute,United States of America,813
Mary Eastman,696810,NUCLEAR ENGINEERING,2310,67,0.5,Suzette Childs,Biology & Life Science,University of Texas at Arlington,United States of America,602
Carol Thomas,326844,GENERAL BUSINESS,2305,25,1.0,James Pepper,Biology & Life Science,VU University Amsterdam,Japan,798
Daisy Hatcher,124874,MULTI/INTERDISCIPLINARY STUDIES,2313,65,0.5,Pamela Gammon,Computers & Mathematics,University of Wisconsin-Madison,Canada,432
Ernestine Crowe,432233,NUTRITION SCIENCES,3604,10,0.5,James Smith,Social Science,University of Tartu,Thailand,319
Mary Gerow,169397,COURT REPORTING,3699,60,1.0,Robert Wright,Engineering,University of Minnesota,Germany,716
Brittany Taylor,338321,OTHER FOREIGN LANGUAGES,3699,88,0.5,Silvia Vinyard,Business,University of Canberra,Brazil,89
Jacob Truong,255135,COSMETOLOGY SERVICES AND CULINARY ARTS,2309,94,1.0,Eileen Williams,Engineering,George Washington University,Australia,586
Mark Thompson,785211,INDUSTRIAL PRODUCTION TECHNOLOGIES,4801,32,1.0,Allen Fletcher,Business,Louisiana State University,Spain,213
Shelly Tune,739587,ENGINEERING AND INDUSTRIAL MANAGEMENT,6099,51,0.5,Michael Anderson,Engineering,National University of Córdoba,Portugal,96
Milagros Weston,461561,FINE ARTS,3607,90,0.5,Faustino Vicknair,Health,Jordan University of Science and Technology,France,760
Charles Camacho,806856,BIOLOGICAL ENGINEERING,6000,60,0.5,Wanda Dominguez,Humanities & Liberal Arts,Lille 1 University – Science and Technology,Brazil,71
Raymond Binkley,615143,LIBERAL ARTS,2501,15,1.0,Virginia Ross,Physical Sciences,University of Cyprus,United States of America,274
Joe Peters,825977,PHILOSOPHY AND RELIGIOUS STUDIES,1100,93,0.5,Leon Wilfong,Physical Sciences,National Institute of Applied Sciences of Lyon (INSA Lyon),Germany,253
Blake Scanlan,533732,ENVIRONMENTAL ENGINEERING,2306,90,1.0,Duane Chang,Biology & Life Science,Dublin City University,Australia,488
Virginia Harris,951532,DRAMA AND THEATER ARTS,1901,0,0.5,Charles Blankenship,Humanities & Liberal Arts,Stony Brook University,United Kingdom,84
Michelle Thompson,920251,PUBLIC POLICY,2409,70,1.0,Doris Potts,Biology & Life Science,University of Pardubice,China,714
Mildred Brooks,397516,SOCIAL PSYCHOLOGY,5102,50,1.0,Dianne Place,Computers & Mathematics,United Arab Emirates University,United States of America,265
Stephanie Martinez,448510,MULTI/INTERDISCIPLINARY STUDIES,3401,25,1.0,John Tao,Agriculture & Natural Resources,Toulouse 1 Capitole University,Japan,40
Sarah Grice,491548,STUDIO ARTS,6099,37,1.0,John Nicholson,Computers & Mathematics,University of Paris North – Paris 13,Spain,167
Luis Osborne,667944,JOURNALISM,2410,98,1.0,Clara Spence,Communications & Journalism,Tokyo Medical and Dental University (TMDU),Japan,50
William Reed,825621,NATURAL RESOURCES MANAGEMENT,1904,47,0.5,Jessica Lawson,Psychology & Social Work,Kyoto University,Germany,277
Donald Walker,995066,CLINICAL PSYCHOLOGY,4000,97,0.5,Virginia Daniels,Humanities & Liberal Arts,University of Iceland,Netherlands,603
James Shearer,724720,BIOLOGY,5006,72,0.5,Lillian Cleveland,Engineering,Savitribai Phule Pune University,Sweden,208
William Sheehan,697748,HEALTH AND MEDICAL PREPARATORY PROGRAMS,4006,42,0.5,James Little,Business,Washington State University,United States of America,752
Elizabeth Smith,574307,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,6001,60,0.5,James Hoffman,Business,University of Dhaka,Iran,797
Clifford Wiggins,928333,ACTUARIAL SCIENCE,3201,75,0.5,Kristin Votaw,Agriculture & Natural Resources,Johannes Gutenberg University of Mainz,Russian Federation,505
Maggie Bellino,789598,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,5004,95,0.5,Shirley Kelly,Arts,Polytechnic University of Turin,United States of America,210
Gertrude Townsend,900689,MISCELLANEOUS FINE ARTS,2407,77,0.5,John Weatherly,Engineering,Pontifical Catholic University of Paraná,Spain,510
David Hoffman,744205,MISCELLANEOUS PSYCHOLOGY,1103,41,0.5,James Weymouth,Engineering,University of Medicine and Dentistry of New Jersey,Republic of Ireland,670
Kelley Kawamura,219547,NUTRITION SCIENCES,1106,1,1.0,Michelle Branson,Arts,Emory University,Netherlands,670
Dalton Norfleet,898288,COMMUNITY AND PUBLIC HEALTH,5404,87,1.0,Roland Swindler,Computers & Mathematics,King Saud University,Malaysia,678
Walter Gooding,578668,POLITICAL SCIENCE AND GOVERNMENT,2001,12,0.5,Audrey Bandy,Humanities & Liberal Arts,Sejong University,Germany,173
Rose McWilliams,359561,ANIMAL SCIENCES,5507,90,0.5,Catherine Lynch,Psychology & Social Work,UiT The Arctic University of Norway,United Kingdom,302
Leon Wilfong,330420,HEALTH AND MEDICAL PREPARATORY PROGRAMS,5202,32,1.0,Annabelle Collazo,Health,University of New Mexico,Germany,392
Mary Lucey,553101,SOIL SCIENCE,2100,31,1.0,Phyllis Briggs,Business,Liverpool John Moores University,United States of America,210
Betsy Sims,224501,MILITARY TECHNOLOGIES,1106,23,0.5,Rickey Birkland,Social Science,Chinese University of Hong Kong,New Zealand,474
Christopher Durant,482823,GENERAL BUSINESS,3401,31,0.5,Tara Porter,Business,Louisiana State University,Hungary,248
Maureen King,736271,BUSINESS ECONOMICS,6099,0,0.5,Irene Wagner,Engineering,Athens University of Economics and Business,Finland,179
Robert Wright,362325,INDUSTRIAL PRODUCTION TECHNOLOGIES,2410,51,0.5,Trisha Bramblett,Psychology & Social Work,Ben-Gurion University of the Negev,Netherlands,807
Joseph Gray,852316,"NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES",6108,86,0.5,Justin Chamberland,Psychology & Social Work,Bauman Moscow State Technical University,Colombia,453
Trenton Askew,570323,MULTI/INTERDISCIPLINARY STUDIES,5005,13,0.5,Wanda Harp,Interdisciplinary,University of Copenhagen,Sweden,45
Patrick Spurlock,119392,ENGLISH LANGUAGE AND LITERATURE,5506,70,1.0,Marisa Caldwell,Biology & Life Science,Northwestern Polytechnical University,United States of America,808
Victoria Pena,204453,CHEMICAL ENGINEERING,2102,86,0.5,Stephanie Atkinson,Engineering,Monash University,Japan,568
James Jones,898630,PHYSIOLOGY,5402,92,1.0,Eileen Pierce,Health,University of Duisburg-Essen,United States of America,620
Scarlett Lockhart,995171,INTERDISCIPLINARY SOCIAL SCIENCES,3801,36,0.5,Danny Pimentel,Education,University of Southern Denmark,Germany,781
Tiffany Rowsey,172011,MISCELLANEOUS FINE ARTS,6201,27,0.5,Diane King,Industrial Arts & Consumer Services,Kyushu University,Spain,256
Patrick Spurlock,537269,ADVERTISING AND PUBLIC RELATIONS,1903,61,1.0,Anastacia Wooldridge,Arts,Adam Mickiewicz University,Brazil,574
Cathy Dominquez,889441,NUCLEAR ENGINEERING,1105,43,1.0,Michael Davis,Social Science,Ohio State University,Denmark,591
Mildred Bolster,153038,GENETICS,2314,84,1.0,Brian Davis,Psychology & Social Work,Istanbul University,Japan,793
Paula Gregory,624834,CRIMINOLOGY,3608,53,0.5,Harry Cusick,Arts,Sheffield Hallam University,Taiwan,675
Lynda Saiz,806625,SECONDARY TEACHER EDUCATION,3611,72,1.0,Janet Higgs,Humanities & Liberal Arts,San Diego State University,Republic of Ireland,429
Ronald Hernandez,418961,FORESTRY,1106,12,0.5,Patsy Cook,Education,University of Wollongong,United States of America,310
Virginia Daniels,593037,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,2107,37,0.5,Modesta Peeples,Arts,University of Colorado Boulder,Bangladesh,683
Delores Garcia,582849,COMMUNITY AND PUBLIC HEALTH,2312,41,1.0,Kimberly Hays,Law & Public Policy,University of Sussex,Japan,675
Tina Mangrum,597248,"ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION",1105,13,1.0,Stephanie Ford,Biology & Life Science,Xidian University,United States of America,168
Danny Lofton,647395,COMMUNICATIONS,3302,20,1.0,Carol Thomas,Engineering,Fu Jen Catholic University,United States of America,465
Kenneth Burke,379992,MISCELLANEOUS FINE ARTS,2307,11,0.5,Eric Grimes,Biology & Life Science,University of Innsbruck,Germany,613
Robert Little,637524,PHYSICAL AND HEALTH EDUCATION TEACHING,6003,53,0.5,Linda Steger,Law & Public Policy,King Abdulaziz University,Italy,440
Patricia Shannon,630449,GENERAL EDUCATION,6205,100,0.5,Steven Whitaker,Engineering,James Cook University,New Zealand,546
Thomas Siegel,827083,STUDIO ARTS,3602,86,0.5,Eva Proffitt,Psychology & Social Work,Sheffield Hallam University,Netherlands,191
Rose Jose,668728,MATERIALS ENGINEERING AND MATERIALS SCIENCE,2413,15,0.5,Anne Corbett,Health,Copenhagen Business School,Japan,102
Thomas Adolph,956854,SECONDARY TEACHER EDUCATION,3701,46,0.5,Stephanie Wright,Engineering,Washington University in St Louis,United States of America,439
Kelly Patten,705821,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,2500,96,0.5,Jason Smith,Humanities & Liberal Arts,Charles Darwin University,Australia,691
David Atkinson,938507,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,2106,68,0.5,Chastity Wilson,Business,University of Newcastle,United States of America,58
Vilma Cabot,818584,MICROBIOLOGY,2102,67,1.0,Terry Torres,Physical Sciences,Chalmers University of Technology,China,279
Jo Malinowski,474286,CONSTRUCTION SERVICES,5507,64,1.0,Pedro Boyer,Biology & Life Science,University of Surrey,United States of America,73
Donald Carlson,117492,MATERIALS ENGINEERING AND MATERIALS SCIENCE,3607,1,0.5,Sonia Burcham,Biology & Life Science,University of Cyprus,United States of America,259
Shannon Guin,104633,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,3604,69,1.0,Christopher King,Physical Sciences,China University of Geosciences (Wuhan),Taiwan,19
Ralph Williams,782442,STATISTICS AND DECISION SCIENCE,4101,78,0.5,Anne McKeown,Humanities & Liberal Arts,National Chengchi University,Germany,169
Raymond Binkley,515829,BIOLOGY,5202,100,1.0,Angela Stone,Education,University of Ottawa,Brazil,595
Michelle Jackson,911592,PHYSICS,6207,52,0.5,Carolyn Creger,Physical Sciences,University of Jyväskylä,Japan,62
Kimberly Ruano,662811,OTHER FOREIGN LANGUAGES,6102,15,0.5,Anderson Richardson,Humanities & Liberal Arts,Creighton University,Canada,234
Robert Stewart,323015,GENERAL EDUCATION,3700,32,1.0,Chad Shepard,Industrial Arts & Consumer Services,Technical University of Madrid,United States of America,221
Richard Eng,153091,MISCELLANEOUS AGRICULTURE,2106,28,0.5,Don Bell,Education,Aix-Marseille University,Japan,469
Maria Delgado,115637,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,2399,36,0.5,Pedro Boyer,Health,China Agricultural University,India,466
Shannon Kelly,964388,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,2412,39,1.0,Richard Moe,Education,Federal University of Viçosa,China,186
Patrica Jones,110356,FAMILY AND CONSUMER SCIENCES,5203,54,1.0,Joseph Hammett,Industrial Arts & Consumer Services,Claude Bernard University Lyon 1,United States of America,673
Maria Ball,497027,INTERNATIONAL BUSINESS,6108,27,1.0,Rene Page,Physical Sciences,University of Kaiserslautern,United Kingdom,115
Lawrence Aldridge,505196,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,6104,33,0.5,Robert Halley,Humanities & Liberal Arts,University of Florence,United States of America,290
Valerie Yancy,887802,PRE-LAW AND LEGAL STUDIES,2414,98,0.5,Ben Janousek,Agriculture & Natural Resources,University of Ibadan,Finland,213
Anthony Kalb,246581,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,2304,12,0.5,Freddy Hartman,Engineering,City University of Hong Kong,Taiwan,149
Mary Gerow,733627,PUBLIC ADMINISTRATION,2409,63,1.0,Kyle Jones,Health,University of Exeter,Austria,42
Elizabeth Baker,353633,MECHANICAL ENGINEERING RELATED TECHNOLOGIES,6210,81,0.5,Charlie Tarin,Health,University of Macau,Germany,393
Ken Goldstein,672738,MATERIALS ENGINEERING AND MATERIALS SCIENCE,3607,7,1.0,Sam Overton,Social Science,"Birla Institute of Technology and Science, Pilani",United States of America,381
Albert Cash,781556,NUCLEAR ENGINEERING,3600,19,0.5,Tracy Yates,Communications & Journalism,Massachusetts Institute of Technology,Chile,681
Adela Kowalski,969587,ELECTRICAL ENGINEERING TECHNOLOGY,2301,68,1.0,Joe Lopez,Physical Sciences,University of Fribourg,Taiwan,493
Stephanie Wright,963270,ECONOMICS,2408,9,1.0,Bertha Henderson,Social Science,Czech Technical University in Prague,Finland,114
Veronica Day,855280,ARCHITECTURE,5507,41,0.5,Lance Fossum,Education,Carlos III University of Madrid,New Zealand,798
Douglas Rodriguez,849767,SCHOOL STUDENT COUNSELING,5002,65,0.5,Geneva Lindsey,Biology & Life Science,University of Fribourg,Mexico,664
Ronald Hendon,655177,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,5506,79,1.0,William Sheehan,Agriculture & Natural Resources,"China Medical University, Taiwan",Japan,257
John Westerfield,244481,ECOLOGY,2402,77,0.5,Betsy Sims,Arts,University of Leicester,Australia,123
Michael Weller,790149,MISCELLANEOUS ENGINEERING TECHNOLOGIES,3607,12,1.0,Ronald Jones,Engineering,Oxford Brookes University,United States of America,715
Kathryn Ellis,523187,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,3700,16,1.0,Joe Peters,Social Science,State University of New York Albany,Hong Kong,601
John Majors,972487,MILITARY TECHNOLOGIES,5206,5,0.5,Danny Lofton,Engineering,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Spain,154
Lillian Cleveland,399601,PETROLEUM ENGINEERING,5501,29,0.5,Peggy Mejia,Biology & Life Science,Keio University,United States of America,330
Kay Scott,778129,MASS MEDIA,6104,74,1.0,Barbara Scott,Engineering,Karlsruhe Institute of Technology,Finland,742
Rosie Castillo,685679,ELECTRICAL ENGINEERING,2402,19,1.0,Brittany Plumley,Agriculture & Natural Resources,Federal University of Lavras,Japan,587
Dana Cooper,145822,INDUSTRIAL PRODUCTION TECHNOLOGIES,1101,87,1.0,Luis Barber,Engineering,University of Kaiserslautern,Switzerland,86
Eileen Williams,970607,PHARMACOLOGY,4005,67,0.5,James Carswell,Health,University of Waterloo,Taiwan,468
Refugio Scheele,982528,ECONOMICS,3608,16,1.0,Maria Rosenzweig,Social Science,Gwangju Institute of Science and Technology,United States of America,632
Gregory Byrd,645225,PUBLIC ADMINISTRATION,3600,69,1.0,Audrey Bandy,Physical Sciences,University of Genoa,Canada,292
Toni McGriff,699792,ENGINEERING AND INDUSTRIAL MANAGEMENT,2403,46,1.0,Lois Buss,Business,Rush University,Brazil,664
Grace Rivera,501749,NAVAL ARCHITECTURE AND MARINE ENGINEERING,5500,84,0.5,Emmett Washburn,Engineering,Auckland University of Technology,United States of America,56
Mildred Bolster,952967,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,2405,62,1.0,Jennifer Peters,Biology & Life Science,University of Coimbra,United States of America,559
Heather Kendall,469457,PUBLIC ADMINISTRATION,3702,3,0.5,Luis Barber,Engineering,Colorado State University,Finland,282
